player_id,player_name,date_of_birth,nationality,import_status,source_label,source_url,verified_at,notes
80294,Kara Richards,1988-01-25,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kara_Richards,2026-04-17,
80128,Karen Atkinson,,,,,,,
998411,Karin Burger,1994-04-12,New Zealand,import,Wikipedia team page (Sunshine Coast Lightning 2026 squad),https://en.wikipedia.org/wiki/Sunshine_Coast_Lightning,2026-04-19,
80559,Karla Pretorius,1990-03-12,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Karla_Pretorius,2026-04-18,
80570,Karyn Bailey,1986-07-28,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Karyn_Bailey,2026-04-18,
80446,Kasey Evering,,,,,,,
80176,Kasey Stanaway,,,,,,,
80403,Kataraina Cooper,,,,,,,
80003,Kate Beveridge,,,,,,,
80808,Kate Burley,,,,,,,
1001701,Kate Eddy,1996-09-12,Australia,local,Wikipedia team page (Melbourne Vixens 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Vixens,2026-04-19,
1023967,Kate Grant,,,,,,,
1006758,Kate Heffernan,1999-10-07,New Zealand,import,Wikipedia team page (Adelaide Thunderbirds 2026 squad),https://en.wikipedia.org/wiki/Adelaide_Thunderbirds,2026-04-19,
991901,Kate Moloney,1993-08-01,Australia,local,Wikipedia team page (Melbourne Vixens 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Vixens,2026-04-19,
80440,Kate Walsh,1992-02-13,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kate_Walsh_(netball),2026-04-17,
1003786,Kate Wells,,,,,,,
80479,Katherine Levien,,,,,,,
80169,Kathleen Knott,1987-09-19,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kathleen_Knott,2026-04-17,
80172,Katie King,,,,,,,
80082,Katie Walker,1978-07-18,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Katie_Walker_(netball),2026-04-17,
80099,Katrina Rore,,,,,,,
1032618,Kayla Graham,2004-05-24,Australia,local,Wikipedia team page (Adelaide Thunderbirds 2026 squad),https://en.wikipedia.org/wiki/Adelaide_Thunderbirds,2026-04-19,
80304,Kayla Johnson,,,,,,,
80379,Kayla McAlister,,,,,,,
995218,Kaylia Stanton,1994-05-17,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kaylia_Stanton,2026-04-17,
80077,Keirra Trompf,1985-09-16,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Keirra_Trompf,2026-04-17,
1019170,Kelea Iongi,,,,,,,
1014125,Kelly Altmann,1993-04-24,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kelly_Altmann,2026-04-17,
993041,Kelly Jackson,1996-10-22,New Zealand,import,Wikipedia team page (Queensland Firebirds 2026 squad),https://en.wikipedia.org/wiki/Queensland_Firebirds,2026-04-19,
1013431,Kelly Singleton,1998-06-24,,,netball.com.au player profile,https://netball.com.au/player/kelly-singleton,2026-04-20,
80575,Kelsey Browne,1992-01-17,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kelsey_Browne,2026-04-17,
1004500,Kelsie Rainbow,1996-09-26,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Kelsie_Rainbow,2026-04-17,
80329,Kendall Corkery,,,,,,,
80494,Kendra Falefitu,,,,,,,
80107,Keshia Grant,,,,,,,
80572,Khao Watts,,,,,,,
1001708,Kiera Austin,1997-08-26,Australia,local,Wikipedia team page (Melbourne Vixens 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Vixens,2026-04-19,
80422,Kiley Hikawai,,,,,,,
1007219,Kim Brown,1998-02-27,Australia,local,Wikipedia team page (Melbourne Mavericks 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Mavericks,2026-04-19,
80069,Kim Green,1986-03-05,Australia,local,Famous Birthdays (netball players),https://www.famousbirthdays.com/people/kimberlee-green.html,2026-04-20,
